
370068687782150144, # SMACK - Suggestions
286411114969956352, # SMACK - General
510668832403095575, # SMACK - Shitposting
286460412415967233, # SMACK - Artdump
287090586509377537, # SMACK - Musicdump
286485013904621568, # SMACK - Memes
510667650125398016, # SMACK - Uni-lyfe
421260651038638096, # SMACK - Rood-n-Lood
286460629215215618, # SMACK - Anime Manga General
286460275496845312, # SMACK - Currently Screening
286695380530495489, # SMACK - Spoiler City
286460358695190529, # SMACK - Weeb Culture
504537542797033472, # SMACK - Profiles and Such
559348553214853130, # SMACK - SMACK Maid Cafe 2019
286460137168961537, # SMACK - Vidyagames
553588340516192266, # SMACK - Guild Wars 2 
387159010861645824, # SMACK - Gacha Hell
579281409403781131, # Testing channel
